Trial_order;Subject_ID;Trial_ID;Accuracy;RT;Lexicality;NoS;NoS_cat;Frequency;Frequency_cat;Stimuli;Word_length
14;s1;t1;1;872;word;1;few;302;LF;[APAT;5
178;s1;t2;1;541;word;1;few;320;LF;MR@NJA;6
61;s1;t3;1;721;word;1;few;391;LF;CESTA;5
55;s1;t4;1;570;word;1;few;414;HF;^E@NJA;6
69;s1;t5;1;581;word;1;few;424;HF;GRANJE;6
63;s1;t6;1;501;word;1;few;448;HF;DE^AK;5
62;s1;t7;1;491;word;1;few;453;HF;APRIL;5
76;s1;t8;1;501;word;1;few;720;HF;OSMEH;5
172;s1;t9;1;550;word;1;few;786;HF;CVE]E;5
122;s1;t10;1;591;word;1;few;1085;HF;LI[]E;5
97;s1;t11;1;631;word;2;few;254;LF;EKIPA;5
169;s1;t12;1;531;word;2;few;272;LF;BA[TA;5
42;s1;t13;1;691;word;2;few;317;LF;RADIO;5
83;s1;t14;1;541;word;2;few;320;LF;PESAK;5
19;s1;t15;1;591;word;2;few;374;LF;USPEH;5
56;s1;t16;1;791;word;2;few;422;HF;USLOV;5
152;s1;t17;1;511;word;2;few;894;HF;DINAR;5
36;s1;t18;1;701;word;2;few;1052;HF;ODBOR;5
155;s1;t19;1;711;word;2;few;1209;HF;SENKA;5
88;s1;t20;1;611;word;2;few;1452;HF;VLADA;5
127;s1;t21;1;591;word;3;few;334;LF;SUTON;5
68;s1;t22;1;541;word;3;few;335;LF;PU[KA;5
129;s1;t23;1;491;word;3;few;335;LF;SELJAK;6
50;s1;t24;1;570;word;3;few;348;LF;SPRAT;5
91;s1;t25;1;531;word;3;few;414;HF;MINUT;5
65;s1;t26;1;541;word;3;few;430;HF;VIDIK;5
141;s1;t27;1;520;word;3;few;631;HF;MAGLA;5
148;s1;t28;1;510;word;3;few;657;HF;MIRIS;5
101;s1;t29;1;531;word;3;few;1470;HF;TRAVA;5
54;s1;t30;1;530;word;3;few;1847;HF;ULICA;5
77;s1;t31;1;501;word;4;medium;278;LF;ZANOS;5
132;s1;t32;1;551;word;4;medium;280;LF;OBZIR;5
98;s1;t33;1;531;word;4;medium;295;LF;PA@NJA;6
51;s1;t34;1;540;word;4;medium;314;LF;SVEST;5
165;s1;t35;1;571;word;4;medium;328;LF;POTOK;5
53;s1;t36;1;571;word;4;medium;375;LF;ZVONO;5
177;s1;t37;1;470;word;4;medium;484;HF;POMO];5
149;s1;t38;1;471;word;4;medium;831;HF;GRUDI;5
58;s1;t39;1;521;word;4;medium;1256;HF;GRANA;5
128;s1;t40;1;581;word;4;medium;2274;HF;VETAR;5
114;s1;t41;1;621;word;5;medium;262;LF;KOMAD;5
23;s1;t42;1;661;word;5;medium;270;LF;LOPTA;5
117;s1;t43;1;561;word;5;medium;281;LF;IGRA^;5
147;s1;t44;1;550;word;5;medium;409;HF;PRI^A;5
107;s1;t45;1;641;word;5;medium;517;HF;SAVEZ;5
80;s1;t46;1;621;word;5;medium;521;HF;GRUPA;5
180;s1;t47;1;451;word;5;medium;828;HF;JESEN;5
173;s1;t48;1;570;word;5;medium;981;HF;KORAK;5
109;s1;t49;1;541;word;5;medium;1011;HF;SRE]A;5
46;s1;t50;1;822;word;5;medium;1671;HF;PTICA;5
48;s1;t51;1;510;word;6;medium;148;LF;ORGAN;5
159;s1;t52;1;591;word;6;medium;164;LF;FORMA;5
118;s1;t53;1;751;word;6;medium;179;LF;BLATO;5
4;s1;t54;1;621;word;6;medium;184;LF;KLUPA;5
66;s1;t55;1;661;word;6;medium;216;LF;PONOR;5
168;s1;t56;1;972;word;6;medium;255;LF;PODNE;5
49;s1;t57;1;590;word;6;medium;318;LF;STENA;5
170;s1;t58;1;500;word;6;medium;463;HF;IZVOR;5
6;s1;t59;1;471;word;6;medium;2365;HF;LJUBAV;6
131;s1;t60;1;521;word;6;medium;2626;HF;PESMA;5
24;s1;t61;1;491;word;7;many;118;LF;MOMAK;5
13;s1;t62;1;581;word;7;many;129;LF;BLAGO;5
1;s1;t63;1;931;word;7;many;134;LF;OSNOV;5
21;s1;t64;1;591;word;7;many;193;LF;STADO;5
75;s1;t65;1;541;word;7;many;326;LF;SLAVA;5
140;s1;t66;1;480;word;7;many;649;HF;KNJIGA;6
151;s1;t67;1;471;word;7;many;885;HF;[KOLA;5
89;s1;t68;1;550;word;7;many;1023;HF;BORBA;5
45;s1;t69;1;571;word;7;many;1565;HF;OBLAK;5
153;s1;t70;1;471;word;7;many;2984;HF;SUNCE;5
57;s1;t72;1;551;word;8;many;116;LF;KONAC;5
16;s1;t73;1;671;word;8;many;135;LF;POTEZ;5
130;s1;t74;1;491;word;8;many;159;LF;JUNAK;5
29;s1;t75;1;481;word;8;many;212;LF;LANAC;5
5;s1;t76;1;601;word;8;many;380;LF;ZLATO;5
139;s1;t77;1;591;word;8;many;416;HF;PISMO;5
163;s1;t78;1;791;word;8;many;431;HF;ZAKON;5
73;s1;t79;1;641;word;8;many;1460;HF;SNAGA;5
31;s1;t80;1;610;word;8;many;3952;HF;ZEMLJA;6
144;s1;t81;1;591;word;9;many;161;LF;KLASA;5
110;s1;t82;1;471;word;9;many;168;LF;PLO^A;5
28;s1;t83;1;591;word;9;many;307;LF;KARTA;5
167;s1;t84;1;511;word;9;many;328;LF;MRE@A;5
115;s1;t85;1;571;word;9;many;399;LF;STANJE;6
47;s1;t86;1;500;word;9;many;403;HF;GOVOR;5
174;s1;t87;1;460;word;9;many;999;HF;POSAO;5
156;s1;t88;1;511;word;9;many;1180;HF;MESTO;5
133;s1;t89;1;521;word;9;many;1620;HF;NAROD;5
142;s1;t90;1;570;word;9;many;190;LF;TA^KA;5
98;s10;t1;1;731;word;1;few;302;LF;[APAT;5
54;s10;t2;1;922;word;1;few;320;LF;MR@NJA;6
26;s10;t3;1;972;word;1;few;391;LF;CESTA;5
156;s10;t4;1;711;word;1;few;414;HF;^E@NJA;6
7;s10;t5;1;882;word;1;few;424;HF;GRANJE;6
20;s10;t6;1;621;word;1;few;448;HF;DE^AK;5
108;s10;t7;1;1261;word;1;few;453;HF;APRIL;5
150;s10;t8;1;660;word;1;few;720;HF;OSMEH;5
175;s10;t9;1;982;word;1;few;786;HF;CVE]E;5
96;s10;t10;1;681;word;1;few;1085;HF;LI[]E;5
88;s10;t11;1;1002;word;2;few;254;LF;EKIPA;5
89;s10;t12;1;631;word;2;few;272;LF;BA[TA;5
122;s10;t13;1;972;word;2;few;317;LF;RADIO;5
132;s10;t14;1;621;word;2;few;320;LF;PESAK;5
91;s10;t15;1;581;word;2;few;374;LF;USPEH;5
112;s10;t16;1;681;word;2;few;422;HF;USLOV;5
46;s10;t17;1;792;word;2;few;894;HF;DINAR;5
130;s10;t18;1;881;word;2;few;1052;HF;ODBOR;5
171;s10;t19;1;861;word;2;few;1209;HF;SENKA;5
126;s10;t20;1;881;word;2;few;1452;HF;VLADA;5
95;s10;t21;1;1011;word;3;few;334;LF;SUTON;5
131;s10;t22;1;630;word;3;few;335;LF;PU[KA;5
79;s10;t23;1;942;word;3;few;335;LF;SELJAK;6
110;s10;t24;1;802;word;3;few;348;LF;SPRAT;5
163;s10;t25;1;601;word;3;few;414;HF;MINUT;5
2;s10;t26;1;742;word;3;few;430;HF;VIDIK;5
64;s10;t27;1;601;word;3;few;631;HF;MAGLA;5
87;s10;t28;1;821;word;3;few;657;HF;MIRIS;5
38;s10;t29;1;631;word;3;few;1470;HF;TRAVA;5
27;s10;t30;1;671;word;3;few;1847;HF;ULICA;5
16;s10;t31;1;691;word;4;medium;278;LF;ZANOS;5
120;s10;t32;1;1011;word;4;medium;280;LF;OBZIR;5
116;s10;t33;1;631;word;4;medium;295;LF;PA@NJA;6
152;s10;t34;1;701;word;4;medium;314;LF;SVEST;5
140;s10;t35;1;651;word;4;medium;328;LF;POTOK;5
136;s10;t36;1;711;word;4;medium;375;LF;ZVONO;5
111;s10;t37;1;681;word;4;medium;484;HF;POMO];5
114;s10;t38;1;671;word;4;medium;831;HF;GRUDI;5
66;s10;t39;1;691;word;4;medium;1256;HF;GRANA;5
43;s10;t40;1;651;word;4;medium;2274;HF;VETAR;5
167;s10;t41;1;771;word;5;medium;262;LF;KOMAD;5
176;s10;t42;1;641;word;5;medium;270;LF;LOPTA;5
8;s10;t43;1;611;word;5;medium;281;LF;IGRA^;5
90;s10;t44;1;661;word;5;medium;409;HF;PRI^A;5
107;s10;t45;1;751;word;5;medium;517;HF;SAVEZ;5
119;s10;t46;1;821;word;5;medium;521;HF;GRUPA;5
178;s10;t47;1;651;word;5;medium;828;HF;JESEN;5
65;s10;t48;1;771;word;5;medium;981;HF;KORAK;5
104;s10;t49;1;681;word;5;medium;1011;HF;SRE]A;5
4;s10;t50;1;581;word;5;medium;1671;HF;PTICA;5
21;s10;t51;1;701;word;6;medium;148;LF;ORGAN;5
61;s10;t52;1;962;word;6;medium;164;LF;FORMA;5
37;s10;t53;1;821;word;6;medium;179;LF;BLATO;5
149;s10;t54;1;600;word;6;medium;184;LF;KLUPA;5
63;s10;t55;1;1262;word;6;medium;216;LF;PONOR;5
73;s10;t56;1;651;word;6;medium;255;LF;PODNE;5
76;s10;t57;1;851;word;6;medium;318;LF;STENA;5
117;s10;t58;1;802;word;6;medium;463;HF;IZVOR;5
154;s10;t59;1;611;word;6;medium;2365;HF;LJUBAV;6
17;s10;t60;1;590;word;6;medium;2626;HF;PESMA;5
75;s10;t61;1;1102;word;7;many;118;LF;MOMAK;5
18;s10;t62;1;871;word;7;many;129;LF;BLAGO;5
39;s10;t63;1;971;word;7;many;134;LF;OSNOV;5
82;s10;t64;1;751;word;7;many;193;LF;STADO;5
11;s10;t66;1;771;word;7;many;649;HF;KNJIGA;6
1;s10;t67;1;1021;word;7;many;885;HF;[KOLA;5
24;s10;t68;1;881;word;7;many;1023;HF;BORBA;5
158;s10;t69;1;621;word;7;many;1565;HF;OBLAK;5
181;s10;t70;1;711;word;7;many;2984;HF;SUNCE;5
177;s10;t71;1;1312;word;8;many;111;LF;REBRO;5
44;s10;t72;1;651;word;8;many;116;LF;KONAC;5
162;s10;t73;1;611;word;8;many;135;LF;POTEZ;5
160;s10;t74;1;611;word;8;many;159;LF;JUNAK;5
41;s10;t75;1;891;word;8;many;212;LF;LANAC;5
134;s10;t76;1;711;word;8;many;380;LF;ZLATO;5
77;s10;t77;1;641;word;8;many;416;HF;PISMO;5
121;s10;t78;1;691;word;8;many;431;HF;ZAKON;5
83;s10;t79;1;691;word;8;many;1460;HF;SNAGA;5
155;s10;t80;1;601;word;8;many;3952;HF;ZEMLJA;6
